Quartiere;Borough_Name;Signorile usato;Medio usato;Economico usato;Signorile nuovo;Medio nuovo;Economico nuovo;Price
PIAVE;PORTA GARIBALDI - PORTA NUOVA;5900;5600;5100;8500;7000;6500;6300
REGINA GIOVANNA;GIARDINI P.TA VENEZIA;Nd;6300;Nd;Nd;Nd;Nd;6300
CORSO GENOVA - DE AMICIS;MAGENTA - S. VITTORE;5900;5300;4700;7000;6500;5600;5900
CADORE;GUASTALLA;6000;5000;4500;8000;6500;5000;5750
ISOLA;ISOLA;6100;5450;4950;10000;6000;Nd;5725
CREMA - PORTA ROMANA;SCALO ROMANA;Nd;5575;4071;Nd;Nd;Nd;5575
PORTA ROMANA - CROCETTA;PTA ROMANA;5900;5200;4800;7500;5800;5300;5500
MONTENERO;PORTA VIGENTINA - PORTA LODOVICA;5200;4700;4250;6550;6250;5600;5475
NAVIGLI - DARSENA - ZONA PEDONALE;PORTA TICINESE - CONCA DEL NAVIGLIO;5800;5100;4500;6200;5600;4700;5350
WAGNER - DE ANGELI;TRE TORRI;5900;5300;4800;8000;Nd;Nd;5300
CANONICA;BRERA;4700;4500;4000;7000;6000;5000;5250
SARPI - CANONICA;SARPI;5000;4600;4200;6500;5800;5000;5200
SANT'AGOSTINO - PARCO SOLARI;STADIO - IPPODROMI;5100;4900;4400;5900;5200;4700;5050
TIBALDI - SAN GOTTARDO;SAN SIRO;5100;4500;4100;6000;5500;4950;5000
BACONE;TIBALDI;4800;4500;4200;5800;5300;5000;4900
ABRUZZI - PLINIO - MORGAGNI;LAMBRATE - ORTICA;5000;4500;3700;5800;5000;4300;4750
SAVONA - TORTONA - PORTA GENOVA;PORTA GENOVA;4500;4200;3800;5700;5200;4500;4700
FARINI;FARINI;4500;4000;2800;Nd;5200;Nd;4600
DOMODOSSOLA;GHISOLFA;4500;4200;Nd;5500;4800;Nd;4500
SOLARI - FOPPA;GIAMBELLINO;4600;4000;3500;5800;5000;4500;4500
UMBRIA - MARTINI;UMBRIA - MOLISE - CALVAIRATE;4500;4000;3500;5500;5000;4500;4500
WASHINGTON;MONCUCCO - SAN CRISTOFORO;5000;4500;3700;7000;Nd;Nd;4500
BUENOS AIRES - VENEZIA;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;4500;4100;3700;5500;4850;4400;4475
CORSO XXII MARZO DATEO;XXII MARZO;5300;4300;3400;6000;4600;3900;4450
